Data	Mundo	Transação	Alterar	Novos pontos Premium	Mais informações
 mai 30, 11:06 	Mundo 73	 Utilizados 	 -10 	 321 	Redução do tempo de construção - pt73 - Ferreiro (Nível 19)
 mai 29, 23:48 	Mundo 73	 Utilizados 	 -10 	 331 	Redução do tempo de construção - pt73 - Ferreiro (Nível 18)
 mai 29, 18:52 	Mundo 73	 Utilizados 	 -10 	 341 	Redução do tempo de construção - pt73 - Ferreiro (Nível 17)
 mai 29, 15:47 	Mundo 73	 Utilizados 	 -10 	 351 	Redução do tempo de construção - pt73 - Ferreiro (Nível 16)
 mai 29, 14:39 	Mundo 73	 Transferir 	 10 	 361 	Troca Premium: Argila vendido (1873)
 mai 29, 14:38 	Mundo 73	 Transferir 	 10 	 351 	Troca Premium: Ferro vendido (1952)
 mai 29, 13:34 	Mundo 73	 Transferir 	 16 	 341 	Troca Premium: Madeira vendido (3098)
 mai 29, 11:33 	Mundo 73	 Utilizados 	 -10 	 325 	Redução do tempo de construção - pt73 - Fazenda (Nível 23)
 mai 29, 10:36 	Mundo 73	 Transferir 	 14 	 335 	Troca Premium: Madeira vendido (3136)
 mai 29, 08:00 	Mundo 73	 Utilizados 	 -30 	 321 	Reduzir para metade o custo de construção - - Fazenda (Nível 23)
 mai 29, 05:29 	Mundo 73	 Transferir 	 32 	 351 	Troca Premium: Argila vendido (5092)
 mai 29, 00:34 	Mundo 73	 Transferir 	 5 	 319 	Troca Premium: Madeira vendido (942)
 mai 29, 00:33 	Mundo 73	 Transferir 	 5 	 314 	Troca Premium: Ferro vendido (879)
 mai 29, 00:33 	Mundo 73	 Transferir 	 5 	 309 	Troca Premium: Argila vendido (882)
 mai 29, 00:33 	Mundo 73	 Transferir 	 21 	 304 	Troca Premium: Madeira vendido (3914)
 mai 29, 00:32 	Mundo 73	 Transferir 	 17 	 283 	Troca Premium: Ferro vendido (2967)
 mai 28, 19:31 	Mundo 73	 Transferir 	 6 	 266 	Troca Premium: Argila vendido (971)
 mai 28, 19:31 	Mundo 73	 Transferir 	 18 	 260 	Troca Premium: Argila vendido (2895)
 mai 28, 19:22 	Mundo 73	 Transferir 	 18 	 242 	Troca Premium: Ferro vendido (2850)
 mai 28, 19:22 	Mundo 73	 Transferir 	 17 	 224 	Troca Premium: Madeira vendido (2887)
 mai 28, 06:53 	Mundo 73	 Transferir 	 10 	 207 	Troca Premium: Argila vendido (1849)
 mai 28, 05:52 	Mundo 73	 Transferir 	 11 	 197 	Troca Premium: Madeira vendido (1898)
 mai 28, 05:51 	Mundo 73	 Transferir 	 17 	 186 	Troca Premium: Ferro vendido (2968)
 mai 28, 05:51 	Mundo 73	 Transferir 	 18 	 169 	Troca Premium: Argila vendido (2924)
 mai 27, 22:39 	Mundo 73	 Transferir 	 11 	 151 	Troca Premium: Madeira vendido (2195)
 mai 27, 22:39 	Mundo 73	 Transferir 	 12 	 140 	Troca Premium: Argila vendido (2181)
 mai 27, 22:39 	Mundo 73	 Transferir 	 17 	 128 	Troca Premium: Ferro vendido (3082)
 mai 27, 17:58 	Mundo 73	 Transferir 	 10 	 111 	Troca Premium: Madeira vendido (1692)
 mai 27, 17:58 	Mundo 73	 Transferir 	 20 	 101 	Troca Premium: Ferro vendido (3116)
 mai 27, 17:58 	Mundo 73	 Transferir 	 20 	 81 	Troca Premium: Argila vendido (3002)
 mai 27, 07:15 	Mundo 73	 Utilizados 	 -40 	 61 	+20% na produção de ferro 7
 mai 27, 07:15 	Mundo 73	 Utilizados 	 -40 	 101 	+20% na produção de argila 7
 mai 27, 02:38 	Mundo 73	 Utilizados 	 -40 	 141 	+20% na produção de madeira 7
 mai 27, 01:18 	Mundo 73	 Transferir 	 35 	 181 	Troca Premium: Ferro vendido (6127)
 mai 26, 19:07 	Mundo 73	 Transferir 	 9 	 146 	Troca Premium: Ferro vendido (1942)
 mai 26, 17:56 	Mundo 73	 Transferir 	 10 	 137 	Troca Premium: Ferro vendido (2092)
 mai 26, 06:45 	Mundo 73	 Transferir 	 27 	 127 	Troca Premium: Ferro vendido (4925)
 mai 25, 05:38 	Mundo 73	 Transferir 	 3 	 100 	Troca Premium: Madeira vendido (625)
 mai 25, 05:38 	Mundo 73	 Transferir 	 3 	 97 	Troca Premium: Ferro vendido (601)
 mai 24, 06:08 	Mundo 73	 Transferir 	 5 	 94 	Troca Premium: Ferro vendido (799)
 mai 24, 06:08 	Mundo 73	 Transferir 	 4 	 89 	Troca Premium: Madeira vendido (770)
 mai 23, 13:07 	Mundo 72	 Transferir 	 1 	 85 	Troca Premium: Ferro vendido (1329)
 mai 23, 06:09 	Mundo 73	 Transferir 	 5 	 84 	Troca Premium: Argila vendido (703)
 mai 22, 22:31 	Mundo 73	 Transferir 	 6 	 79 	Troca Premium: Argila vendido (1313)
